event_id,pre_date,post_date,tile,burned_ha,other_fire_ha,pre_scene,post_scene
0,2020-01-24,2020-02-13,T34TEL,91,70,S2A_MSIL2A_20200124T092251_N0213_R093_T34TEL_20200124T105805,S2A_MSIL2A_20200213T092101_N0214_R093_T34TEL_20200213T120114
1,2020-02-01,2020-03-12,T34TEK,80,193,S2B_MSIL2A_20200201T093119_N0213_R136_T34TEK_20200201T115628,S2B_MSIL2A_20200312T093029_N0214_R136_T34TEK_20200312T124342
2,2020-02-25,2020-04-10,T35TMG,39,0,S2B_MSIL2A_20200225T090849_N0214_R050_T35TMG_20200225T122430,S2A_MSIL2A_20200410T090551_N0214_R050_T35TMG_20200410T122504
3,2020-02-25,2020-03-21,T35TMF,39,1733,S2B_MSIL2A_20200225T090849_N0214_R050_T35TMF_20200225T122430,S2A_MSIL2A_20200321T090641_N0214_R050_T35TMF_20200321T120320
4,2020-03-12,2020-04-13,T34SDH,33,373,S2B_MSIL2A_20200312T093029_N0214_R136_T34SDH_20200312T124342,S2A_MSIL2A_20200413T092031_N0214_R093_T34SDH_20200413T122838
6,2020-03-19,2020-05-08,T34SEG,30,816,S2B_MSIL2A_20200319T092029_N0214_R093_T34SEG_20200319T124131,S2B_MSIL2A_20200508T092029_N0214_R093_T34SEG_20200508T120913
7,2020-03-19,2020-05-08,T34SEG,44,803,S2B_MSIL2A_20200319T092029_N0214_R093_T34SEG_20200319T124131,S2B_MSIL2A_20200508T092029_N0214_R093_T34SEG_20200508T120913
8,2020-04-13,2020-06-27,T34SDG,71,171,S2A_MSIL2A_20200413T092031_N0214_R093_T34SDG_20200413T122838,S2B_MSIL2A_20200627T092029_N0214_R093_T34SDG_20200627T115153
10,2020-04-13,2020-05-13,T34SEJ,43,28,S2A_MSIL2A_20200413T092031_N0214_R093_T34SEJ_20200413T122838,S2A_MSIL2A_20200513T092031_N0214_R093_T34SEJ_20200513T121338
11,2020-05-05,2020-06-29,T34SGH,53,125,S2B_MSIL2A_20200505T090549_N0214_R050_T34SGH_20200505T122359,S2A_MSIL2A_20200629T090601_N0214_R050_T34SGH_20200629T120110
13,2020-05-08,2020-07-04,T34TGK,43,0,S2B_MSIL2A_20200508T092029_N0214_R093_T34TGK_20200508T120913,S2B_MSIL2A_20200704T090559_N0214_R050_T34TGK_20200704T121522
14,2020-05-13,2020-07-04,T35TKE,42,0,S2A_MSIL2A_20200513T092031_N0214_R093_T35TKE_20200513T121338,S2B_MSIL2A_20200704T090559_N0214_R050_T35TKE_20200704T121522
15,2020-06-16,2020-06-21,T35SLB,71,292,S2A_MSIL2A_20200616T085601_N0214_R007_T35SLB_20200616T150600,S2B_MSIL2A_20200621T085559_N0214_R007_T35SLB_20200621T124820
16,2020-05-13,2020-06-29,T34SFH,317,1822,S2A_MSIL2A_20200513T092031_N0214_R093_T34SFH_20200513T121338,S2A_MSIL2A_20200629T090601_N0214_R050_T34SFH_20200629T120110
17,2020-05-15,2020-06-29,T35SLB,85,141,S2B_MSIL2A_20200515T090559_N0214_R050_T35SLB_20200515T123836,S2A_MSIL2A_20200629T090601_N0214_R050_T35SLB_20200629T120110
18,2020-03-12,2020-05-08,T34TEL,70,91,S2B_MSIL2A_20200312T093029_N0214_R136_T34TEL_20200312T124342,S2B_MSIL2A_20200508T092029_N0214_R093_T34TEL_20200508T120913
19,2020-07-12,2020-07-24,T34SFG,3244,539,S2A_MSIL2A_20200712T092031_N0214_R093_T34SFG_20200712T121319,S2B_MSIL2A_20200724T090559_N0214_R050_T34SFG_20200724T122547
