event_id,pre_date,post_date,tile,burned_ha,other_fire_ha,pre_scene,post_scene
0,2017-06-28,2017-09-16,T34SEG,47,1019,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEG_20170628T092815,S2A_MSIL2A_20170916T092031_N0205_R093_T34SEG_20170916T092843
2,2017-06-28,2017-12-25,T34SEJ,96,83,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEJ_20170628T092815,S2A_MSIL2A_20171225T092411_N0206_R093_T34SEJ_20171225T114531
3,2017-06-28,2017-08-27,T34SEG,564,503,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEG_20170628T092815,S2A_MSIL2A_20170827T092031_N0205_R093_T34SEG_20170827T092818
4,2017-06-28,2017-08-27,T34SEG,54,1013,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEG_20170628T092815,S2A_MSIL2A_20170827T092031_N0205_R093_T34SEG_20170827T092818
5,2017-06-28,2017-08-27,T34SDH,39,343,S2A_MSIL2A_20170628T092031_N0205_R093_T34SDH_20170628T092815,S2A_MSIL2A_20170827T092031_N0205_R093_T34SDH_20170827T092818
10,2017-08-27,2017-12-23,T34SDH,117,264,S2A_MSIL2A_20170827T092031_N0205_R093_T34SDH_20170827T092818,S2B_MSIL2A_20171223T093359_N0206_R136_T34SDH_20171223T115756
17,2017-08-04,2018-01-01,T34SFG,409,554,S2A_MSIL2A_20170804T091031_N0205_R050_T34SFG_20170804T091836,S2A_MSIL2A_20180101T091351_N0206_R050_T34SFG_20180101T113355
19,2017-05-23,2017-09-10,T35SMU,65,0,S2A_MSIL2A_20170523T085601_N0205_R007_T35SMU_20170523T090333,S2A_MSIL2A_20170910T090021_N0205_R007_T35SMU_20170910T090725
20,2017-04-26,2017-08-27,T34SFG,32,931,S2A_MSIL2A_20170426T091031_N0204_R050_T34SFG_20170426T091828,S2A_MSIL2A_20170827T092031_N0205_R093_T34SFG_20170827T092818
23,2017-08-27,2017-12-25,T34TEL,494,90,S2A_MSIL2A_20170827T092031_N0205_R093_T34TEL_20170827T092818,S2A_MSIL2A_20171225T092411_N0206_R093_T34TEL_20171225T114531
26,2017-06-28,2017-12-25,T34SDJ,188,1245,S2A_MSIL2A_20170628T092031_N0205_R093_T34SDJ_20170628T092815,S2A_MSIL2A_20171225T092411_N0206_R093_T34SDJ_20171225T114531
29,2017-07-01,2017-10-09,T34SDJ,36,1703,S2A_MSIL2A_20170701T093031_N0205_R136_T34SDJ_20170701T093524,S2A_MSIL2A_20171009T093031_N0205_R136_T34SDJ_20171009T093340
32,2017-07-11,2017-08-27,T34TDK,65,47,S2A_MSIL2A_20170711T093031_N0205_R136_T34TDK_20170711T093606,S2A_MSIL2A_20170827T092031_N0205_R093_T34TDK_20170827T092818
35,2017-06-28,2017-08-27,T34SDG,47,2646,S2A_MSIL2A_20170628T092031_N0205_R093_T34SDG_20170628T092815,S2A_MSIL2A_20170827T092031_N0205_R093_T34SDG_20170827T092818
38,2017-07-31,2017-12-23,T34SDH,64,317,S2A_MSIL2A_20170731T093041_N0205_R136_T34SDH_20170731T093607,S2B_MSIL2A_20171223T093359_N0206_R136_T34SDH_20171223T115756
40,2017-06-28,2017-08-17,T34SDG,46,2647,S2A_MSIL2A_20170628T092031_N0205_R093_T34SDG_20170628T092815,S2A_MSIL2A_20170817T092031_N0205_R093_T34SDG_20170817T092934
43,2017-07-02,2017-09-10,T35SLV,60,0,S2A_MSIL2A_20170702T085641_N0205_R007_T35SLV_20170702T090524,S2A_MSIL2A_20170910T090021_N0205_R007_T35SLV_20170910T090725
45,2017-08-27,2017-10-16,T34SFG,283,996,S2A_MSIL2A_20170827T092031_N0205_R093_T34SFG_20170827T092818,S2A_MSIL2A_20171016T092031_N0205_R093_T34SFG_20171016T092740
46,2017-08-27,2017-10-16,T34SEG,120,946,S2A_MSIL2A_20170827T092031_N0205_R093_T34SEG_20170827T092818,S2A_MSIL2A_20171016T092031_N0205_R093_T34SEG_20171016T092740
47,2017-06-28,2017-12-25,T34SEH,30,2028,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEH_20170628T092815,S2A_MSIL2A_20171225T092411_N0206_R093_T34SEH_20171225T114531
49,2017-09-16,2017-12-25,T34SEH,40,2018,S2A_MSIL2A_20170916T092031_N0205_R093_T34SEH_20170916T092843,S2A_MSIL2A_20171225T092411_N0206_R093_T34SEH_20171225T114531
51,2017-06-25,2018-01-01,T34SGG,268,474,S2A_MSIL2A_20170625T091021_N0205_R050_T34SGG_20170625T091829,S2A_MSIL2A_20180101T091351_N0206_R050_T34SGG_20180101T113355
53,2017-09-03,2018-01-01,T35SKC,99,2823,S2A_MSIL2A_20170903T090551_N0205_R050_T35SKC_20170903T090723,S2A_MSIL2A_20180101T091351_N0206_R050_T35SKC_20180101T113355
57,2017-07-01,2017-12-25,T34SDJ,457,976,S2A_MSIL2A_20170701T093031_N0205_R136_T34SDJ_20170701T093524,S2A_MSIL2A_20171225T092411_N0206_R093_T34SDJ_20171225T114531
58,2017-06-28,2017-08-27,T34SDJ,39,1394,S2A_MSIL2A_20170628T092031_N0205_R093_T34SDJ_20170628T092815,S2A_MSIL2A_20170827T092031_N0205_R093_T34SDJ_20170827T092818
60,2017-10-16,2017-10-16,T34SFJ,73,31,S2A_MSIL2A_20171016T092031_N0205_R093_T34SFJ_20171016T092740,S2A_MSIL2A_20171016T092031_N0205_R093_T34SFJ_20171016T092740
61,2017-09-16,2017-12-25,T34SFJ,31,73,S2A_MSIL2A_20170916T092031_N0205_R093_T34SFJ_20170916T092843,S2A_MSIL2A_20171225T092411_N0206_R093_T34SFJ_20171225T114531
62,2017-06-28,2017-10-09,T34SEJ,45,0,S2A_MSIL2A_20170628T092031_N0205_R093_T34SEJ_20170628T092815,S2A_MSIL2A_20171009T093031_N0205_R136_T34SEJ_20171009T093340
64,2017-07-11,2017-10-09,T34TDK,140,238,S2A_MSIL2A_20170711T093031_N0205_R136_T34TDK_20170711T093606,S2A_MSIL2A_20171009T093031_N0205_R136_T34TDK_20171009T093340
67,2017-07-01,2017-12-23,T34SDJ,58,1681,S2A_MSIL2A_20170701T093031_N0205_R136_T34SDJ_20170701T093524,S2B_MSIL2A_20171223T093359_N0206_R136_T34SDJ_20171223T115756
69,2017-10-09,2017-12-25,T34TEK,49,541,S2A_MSIL2A_20171009T093031_N0205_R136_T34TEK_20171009T093340,S2A_MSIL2A_20171225T092411_N0206_R093_T34TEK_20171225T114531
70,2017-08-27,2017-12-25,T34TDK,40,538,S2A_MSIL2A_20170827T092031_N0205_R093_T34TDK_20170827T092818,S2A_MSIL2A_20171225T092411_N0206_R093_T34TDK_20171225T114531
71,2017-03-30,2017-08-27,T34TFL,70,0,S2A_MSIL2A_20170330T092021_N0204_R093_T34TFL_20170330T092849,S2A_MSIL2A_20170827T092031_N0205_R093_T34TFL_20170827T092818
74,2017-08-27,2018-01-01,T34TGL,57,0,S2A_MSIL2A_20170827T092031_N0205_R093_T34TGL_20170827T092818,S2A_MSIL2A_20180101T091351_N0206_R050_T34TGL_20180101T113355
76,2017-04-26,2017-11-02,T35TLF,37,88,S2A_MSIL2A_20170426T091031_N0204_R050_T35TLF_20170426T091828,S2A_MSIL2A_20171102T091131_N0206_R050_T35TLF_20171102T111520
77,2017-09-03,2018-01-06,T35TMF,52,0,S2A_MSIL2A_20170903T090551_N0205_R050_T35TMF_20170903T090723,S2B_MSIL2A_20180106T091339_N0206_R050_T35TMF_20180106T111117
78,2017-06-25,2017-08-04,T34SGE,76,0,S2A_MSIL2A_20170625T091021_N0205_R050_T34SGE_20170625T091829,S2A_MSIL2A_20170804T091031_N0205_R050_T34SGE_20170804T091836
79,2017-07-11,2017-10-09,T34TDK,57,322,S2A_MSIL2A_20170711T093031_N0205_R136_T34TDK_20170711T093606,S2A_MSIL2A_20171009T093031_N0205_R136_T34TDK_20171009T093340
80,2017-04-09,2017-08-27,T34TDK,38,540,S2A_MSIL2A_20170409T092031_N0204_R093_T34TDK_20170409T092858,S2A_MSIL2A_20170827T092031_N0205_R093_T34TDK_20170827T092818
82,2017-08-27,2018-01-01,T35TKF,55,0,S2A_MSIL2A_20170827T092031_N0205_R093_T35TKF_20170827T092818,S2A_MSIL2A_20180101T091351_N0206_R050_T35TKF_20180101T113355
83,2017-08-27,2017-10-16,T34SEG,282,785,S2A_MSIL2A_20170827T092031_N0205_R093_T34SEG_20170827T092818,S2A_MSIL2A_20171016T092031_N0205_R093_T34SEG_20171016T092740
84,2017-09-16,2018-01-01,T34SFH,164,83,S2A_MSIL2A_20170916T092031_N0205_R093_T34SFH_20170916T092843,S2A_MSIL2A_20180101T091351_N0206_R050_T34SFH_20180101T113355
85,2017-07-02,2017-09-10,T35SLU,61,42,S2A_MSIL2A_20170702T085641_N0205_R007_T35SLU_20170702T090524,S2A_MSIL2A_20170910T090021_N0205_R007_T35SLU_20170910T090725
86,2017-09-03,2018-01-01,T34SGH,102,2905,S2A_MSIL2A_20170903T090551_N0205_R050_T34SGH_20170903T090723,S2A_MSIL2A_20180101T091351_N0206_R050_T34SGH_20180101T113355
